"","Municipio","Nombre.Comercial","Subcategoria","Direccion.Comercial","Correo.Electronico","Habitaciones","Camas","Empleados","Precio"
"2","TUNJA","HOTEL EL PASO I","HOTEL","CARRERA 14  6-54 SUR","hotelelpasotunja@hotmail.com",19,35,1,52426
"3","PAIPA","HOTEL FANINE INN","HOTEL","CL 25 5 18","hotelfaninepaipa@hotmail.com",31,60,25,91726
"4","TUNJA","HOTEL DUX","HOTEL","CALLE 19  10-78","claudiagalindogomez@yahoo.es",10,20,1,47660
"6","PAIPA","HOTELES ESTELAR SUCURSAL PAIPA","HOTEL","ORILLAS LAGO SOCHAGOTA","franciscoa.combariza@hotelesestelar.com",105,182,89,226409
"7","PAIPA","HOTEL EL LAGO","HOTEL","CL 25 10 43","hotelellago@hotmail.es",50,106,24,99746
"8","SOGAMOSO","HOTEL SOGAMOSO REAL","HOTEL","KR 10 13 11","juanrmorcote@yahoo.com",21,50,10,76134
"9","SOGAMOSO","HOTEL TOBACA","HOTEL","CALLE 13 10-68","hoteltobaca@gmail.com",31,60,6,56040
"10","PAIPA","HOTEL LANCEROS DE COLSUBSIDIO","HOTEL","KM 4 VIA PANTANO DE VARGAS","hoteles.paipa@colsubsidio.com",86,260,106,261188
"11","PAIPA","HOTEL COLONIAL DE COLSUBSIDIO","HOTEL","VIA A LAS PISCINAS","hoteles.paipa@colsubsidio.com",25,96,73,194963
"12","VILLA DE LEYVA","POSADA DE LOS ANGELES","HOTEL","CARRERA 10  13-94","posadadelosangeles@gmail.com",8,12,2,58675
"13","CHIQUINQUIRA","HOTEL ALCARRAZA CHIQUINQUIRA","HOTEL","CALLE 17  8-44","alcarrazahotel@hotmail.com",30,35,1,56295
"16","PAIPA","HOTEL SOCHAGOTA","HOTEL","KM 2 VIA PISCINAS MUNICIPALES","gerencia@hotelsochagota.com",64,180,72,200624
"18","CUITIVA","HOTEL TERMALES EL BATAN","HOTEL","VEREDA LA VEGA","contacto@termaleselbatan.com",31,64,24,105731
"19","MONIQUIRA","HOTEL CABAÑA LOS ARRAYANES","HOTEL","KILOMETRO 5 VIA MONIQUIRA - BARBOSA","hotelarrayanes@yahoo.com",40,98,1,61053
"20","PAIPA","HOTEL CABANAS EL PORTON","HOTEL","CL 25 10 76","elportonpaipa@gmail.com",25,57,1,53012
"22","TIBASOSA","HOTEL HACIENDA SUESCUN","HOTEL","KLM 4 VIA SOGAMOSO TIBASOSA","hotelhaciendasuescun@yahoo.com",16,50,6,62447
"24","VILLA DE LEYVA","HOTEL HOSPEDERIA SAN CARLOS","HOTEL","CARRERA 9  5-44","sancarlos@hospederiasancarlos.com",13,30,1,45414
"26","CHIQUINQUIRA","HOTEL BOYACA","HOTEL","CALLE 5  9 05","yasmynsanchez@gmail.com",24,39,2,53585
"28","SOGAMOSO","HOTEL SOL INTERNACIONAL","HOTEL","CRA 13 13 66","hotelsolinter@gmail.com",31,52,1,47076
"29","VILLA DE LEYVA","OCD HOSPEDERIA DURUELO","HOTEL","CARRERA 3  12-88","gerente@duruelo.com.co",100,297,1,42796
"30","VILLA DE LEYVA","HOTEL ANDRES VENERO DE LEIVA","HOTEL","CALLE 11  12A  105","hotelandresvenero@hotmail.com",30,60,1,54696
"31","PAIPA","DAZA HOTEL","HOTEL","CARRERA 19 25 29","gerencia@dazahotel.com",22,46,4,58791
"32","VILLA DE LEYVA","SOL DE LA VILLA","HOTEL","CARRERA 8  12-28","sol_hospedaje@hotmail.com",18,24,4,50802
"33","VILLA DE LEYVA","HOSPEDERIA EL OCOBO","HOTEL","CARRERA 9  5-62","hospederiaelocobo@hotmail.com",7,10,1,47674
"34","TIBANA","HACIENDA BAZA","HOTEL","VEREDA LAVADEROS","haciendabaza@hotmail.com",13,28,1,53661
"35","CHIQUINQUIRA","HOTEL EL DORADO CHIQUINQUIRA","HOTEL","CARRERA 7A  18 04","hoteleldoradochiquinquira@gmail.com",29,46,2,47301
"37","CHIQUINQUIRA","HOTEL RIO","HOTEL","CARRERA 10 17-93","hotelrio2014@outlook.com",18,28,2,45926
"42","DUITAMA","HOTEL AZUAY","HOTEL","CR 18 17 53","hotelazuay@hotmail.com",20,20,4,56572
"43","CHIQUINQUIRA","HOTEL IMPERIAL CHIQUINQUIRA","HOTEL","CARRERA 9  4-69","caibaguep@unal.edu.co",33,42,2,51115
